customer_id,customer_name,email,phone,gender,date_of_birth,city,state,registration_date,loyalty_points,status
C0022,Rohan Singh,rohansingh@email.com,26826526,Male,29/11/1994,Pune,Karnataka,16-03-2024,1248,Active
C0023,Rohan Kapoor,rohankapoor@email.com,34598585,Female,23-11-1985,Bangalore,Tamil Nadu,16-06-2023,1496,active
C0024,Rahul Singh,rahulsingh@email.com,23129509,Male,14/06/1992,Jaipur,Delhi,26-04-2024,,Active
C0025,Meena Kapoor,meenakapoor@email.com,28851421,Female,06-11-1991,Pune,Uttar Pradesh,2024/11/26,556,Active
C0026,Neha Das,nehadas@email.com,28263305,Male,1989/01/02,Jaipur,Tamil Nadu,2023-09-18,178,Inactive
C0027, Arjun Sharma ,arjunsharma@email.com,34969960,Male,30-08-1996,Hyderabad,Telangana,13/11/2024,ten,active
C0028,Arjun Das,arjundas@email.com,18969559,Female,08/06/1997,Kolkata,Delhi,2023/11/08,ten,Active
C0029,Arjun Gupta,arjungupta@email.com,35844383,Male,10/08/1998,Mumbai,Telangana,2024/06/11,ten,Active
C0030,Pooja Das,poojadas@email.com,19662672,Female,15-01-1990,Jaipur,Tamil Nadu,14/12/2024,150,active
C0031,Arjun Mehta,arjunmehta@email.com,13526315,Female,1988-04-23,Delhi,Tamil Nadu,05/05/2023,1928,Active
C0032,Meena Malhotra,meenamalhotra@email.com,16063306,Male,15/07/1997,Lucknow,West Bengal,23-09-2023,,Inactive
C0033,Rohan Malhotra,rohanmalhotra@email.com,26290978,Male,1995/11/14,Bangalore,Karnataka,25/08/2023,1000,Inactive
C0034,Amit Mehta,amitmehta@email.com,11974625,Male,1986/06/11,Jaipur,West Bengal,2023/01/07,ten,active
C0035,Arjun Rao,arjunrao@email.com,34483439,Female,27-01-1997,Bangalore,West Bengal,2023-05-11,1099,active
C0036,Anjali Gupta,anjaligupta@email.com,not_available,Female,1991-02-30,Pune,Tamil Nadu,2024/04/10,ten,active
C0037,Arjun Das,arjundas@email,31291701,Male,1994-06-16,Delhi,Delhi,11-09-2023,1063,Active
C0038,Anjali Singh,anjalisingh@email.com,19021338,Male,1990-05-09,Bangalore,Telangana,2023-04-21,1255,active
C0039,Anjali Rao,anjalirao@email.com,32336065,Female,24-11-1993,Mumbai,Delhi,22/12/2023,,Inactive
C0040,Sneha Verma,snehaverma@email.com,32022580,Female,1996-05-07,Bangalore,Uttar Pradesh,2023/06/30,ten,Inactive
C0041,Karan Iyer,karaniyer@email,39832160,Female,1995/06/06,Jaipur,Rajasthan,30/01/2023,760,active
C0042,Amit Iyer,amitiyer@email.com,30706084,Male,1989/10/04,Mumbai,Tamil Nadu,21/02/2024,ten,Inactive
C0043, Pooja Iyer ,poojaiyer@email.com,23389252,Female,28/06/1999,Lucknow,Rajasthan,2024/03/11,1723,active
C0044,Meena Das,meenadas@email.com,17755052,Male,1991-11-17,Chennai,Tamil Nadu,2024/05/10,1577,Inactive
C0045,Anjali Malhotra,anjalimalhotra@email.com,35670121,Male,1998-05-21,Hyderabad,Delhi,2023/02/25,1805,Inactive
C0046,Amit Iyer,amitiyer@email.com,not_available,Female,1987/04/21,Mumbai,Maharashtra,15/02/2024,ten,Active
C0047,Anjali Sharma,anjalisharma@email.com,30081724,Male,1988/05/27,Kolkata,Uttar Pradesh,06/04/2024,274,active
C0048, Anjali Rao ,anjalirao@email.com,38066951,Male,1991-11-07,Bangalore,Tamil Nadu,2023-06-27,,Active
C0049,Rahul Rao,rahulrao@email.com,17204089,Male,08/02/1995,Chennai,Telangana,02-10-2024,696,active
C0050, Neha Malhotra ,nehamalhotra@email.com,12966328,Female,1990/01/16,Lucknow,Maharashtra,2024/04/24,1792,Inactive
C0051, Arjun Das ,arjundas@email.com,19375268,Male,23/03/1996,Mumbai,Tamil Nadu,2024-11-21,,Inactive
C0052,Rohan Gupta,rohangupta@email.com,31993891,Female,26-11-1985,Lucknow,Maharashtra,2024/04/26,,active
C0053,Sneha Kapoor,snehakapoor@email.com,36717445,Male,12-01-2000,Lucknow,Maharashtra,2023/11/19,ten,active
C0054,Neha Rao,neharao@email,11802395,Female,1996-07-17,Lucknow,Delhi,2023/07/28,,Inactive
C0055,Amit Das,amitdas@email.com,22300037,Female,30/10/1994,Kolkata,Delhi,19/07/2024,348,Active
C0056,Pooja Verma,poojaverma@email.com,27927908,Female,09-05-1995,Chennai,West Bengal,18-07-2024,,active
C0057,Pooja Gupta,poojagupta@email.com,25897643,Female,26-05-1996,Delhi,Telangana,02/11/2023,1869,Active
C0058,Meena Malhotra,meenamalhotra@email.com,32663477,Male,12/11/1995,Jaipur,Delhi,22/11/2023,ten,Inactive
C0059,Arjun Rao,arjunrao@email.com,17845351,Female,20-11-1999,Mumbai,West Bengal,16-01-2023,1114,active
C0060,Amit Verma,amitverma@email.com,31685624,Female,1995/07/14,Pune,West Bengal,2024-07-08,,Inactive
C0061, Neha Mehta ,nehamehta@email.com,30287917,Male,1999/02/27,Lucknow,Karnataka,2024/12/11,,Active
C0062,Rahul Kapoor,rahulkapoor@email.com,30925142,Male,1986/04/05,Bangalore,Maharashtra,16/09/2024,982,Inactive
C0063,Pooja Iyer,poojaiyer@email.com,17323925,Female,30/01/1998,Kolkata,Karnataka,17/03/2023,ten,active
C0064,Anjali Das,anjalidas@email.com,10306106,Female,1999/05/02,Pune,Telangana,2024/12/17,ten,Active
C0065,Arjun Das,arjundas@email.com,38259252,Male,1985-03-08,Pune,Tamil Nadu,13-10-2024,,Inactive
C0066, Rohan Singh ,rohansingh@email.com,20115922,Female,1999-02-03,Pune,Uttar Pradesh,29-06-2023,ten,Active
C0067,Karan Kapoor,karankapoor@email.com,38580902,Female,1996/11/27,Pune,Maharashtra,2024-04-24,1800,Active
C0068,Pooja Rao,poojarao@email.com,12213260,Female,02/07/1997,Jaipur,Rajasthan,21-04-2023,ten,active
C0069,Rahul Gupta,rahulgupta@email.com,33275575,Female,05-08-1997,Mumbai,Karnataka,2023-02-16,1426,active
C0070,Meena Verma,meenaverma@email.com,12490673,Female,08-03-1987,Bangalore,Uttar Pradesh,2024-11-01,ten,active
C0071,Anjali Rao,anjalirao@email.com,29982613,Female,1991-02-30,Kolkata,Rajasthan,04/03/2023,858,active
C0072,Pooja Verma,poojaverma@email,19490291,Male,15-03-1995,Chennai,Maharashtra,21-07-2024,,Inactive
C0073,Pooja Mehta,poojamehta@email.com,22034286,Male,1992-05-15,Bangalore,Delhi,02-01-2024,667,Inactive
C0074,Sneha Sharma,snehasharma@email.com,29641829,Female,28-11-1988,Kolkata,Maharashtra,07-04-2024,ten,Inactive
C0075,Rahul Malhotra,rahulmalhotra@email.com,15151131,Female,1991-10-07,Mumbai,Maharashtra,26-11-2023,ten,Active
C0076,Amit Das,amitdas@email.com,28661192,Male,1999/01/02,Kolkata,Tamil Nadu,16/03/2024,,Active
C0077,Arjun Kapoor,arjunkapoor@email.com,21116983,Female,1995-03-05,Mumbai,Maharashtra,2023-03-29,ten,active
C0078,Neha Kapoor,nehakapoor@email.com,18056041,Male,1987/12/02,Hyderabad,Telangana,2023-12-27,1472,Inactive
C0079,Karan Mehta,karanmehta@email.com,24824481,Male,21-06-1988,Jaipur,Delhi,2024/09/15,1835,Active
C0080,Amit Das,amitdas@email.com,26421947,Male,2000/10/05,Delhi,Maharashtra,27-06-2024,818,active
C0081,Arjun Iyer,arjuniyer@email.com,not_available,Male,1992/08/24,Bangalore,Karnataka,2024-09-24,ten,Inactive
C0082,Neha Das,nehadas@email.com,36594427,Female,09/12/1994,Mumbai,Telangana,25/11/2024,ten,Inactive
C0083,Rohan Sharma,rohansharma@email.com,10486915,Female,1989-12-12,Pune,Maharashtra,08/01/2023,115,Inactive
C0084,Arjun Singh,arjunsingh@email.com,not_available,Male,25-11-1987,Jaipur,Delhi,2024-04-15,,active
C0085,Anjali Rao,anjalirao@email.com,27650637,Female,11/11/1997,Pune,Maharashtra,2024-03-23,692,Active
C0086,Arjun Gupta,arjungupta@email.com,28568440,Male,25/12/1993,Kolkata,Tamil Nadu,2023/12/24,ten,Inactive
C0087,Amit Mehta,amitmehta@email.com,not_available,Female,23-04-1987,Lucknow,West Bengal,2024/11/28,,Inactive
C0088,Sneha Singh,snehasingh@email.com,30282062,Female,12/11/1994,Lucknow,West Bengal,2023-02-08,ten,active
C0089,Rohan Verma,rohanverma@email.com,21338549,Male,1999-06-18,Lucknow,Tamil Nadu,26/11/2023,,Inactive
C0090,Amit Sharma,amitsharma@email.com,16301095,Female,1995/02/08,Kolkata,Karnataka,2024/01/08,1562,active
C0091,Arjun Rao,arjunrao@email,not_available,Female,1992-08-03,Hyderabad,Telangana,03-11-2024,,active
C0092,Neha Gupta,nehagupta@email.com,36486300,Female,1999/11/20,Kolkata,Uttar Pradesh,2024/10/20,,Active
C0093,Karan Verma,karanverma@email.com,15554791,Female,1999/06/29,Chennai,Tamil Nadu,21-05-2023,ten,Active
C0094,Rohan Verma,rohanverma@email.com,15261849,Male,1996-05-21,Bangalore,Karnataka,2024-03-24,ten,active
C0095,Sneha Mehta,snehamehta@email.com,23470503,Male,18/12/1994,Pune,West Bengal,2024/04/17,,active
C0096,Karan Malhotra,karanmalhotra@email.com,23990963,Female,23-05-1994,Kolkata,Maharashtra,2024-12-29,,active
C0097, Neha Singh ,nehasingh@email.com,34166924,Female,13-02-1991,Delhi,Uttar Pradesh,24/02/2023,ten,Inactive
C0098,Sneha Mehta,snehamehta@email,11742113,Male,1993/08/30,Bangalore,Delhi,21/10/2023,559,Inactive
C0099,Amit Iyer,amitiyer@email.com,24570247,Female,1995-01-23,Mumbai,Telangana,2023/09/01,ten,Active
C0100,Rahul Mehta,rahulmehta@email.com,34464413,Male,02/06/1994,Bangalore,Telangana,2024-03-15,228,Inactive
C0101, Sneha Mehta ,snehamehta@email.com,23479358,Male,1997-10-19,Jaipur,West Bengal,14/02/2023,ten,active
C0102,Rohan Sharma,rohansharma@email.com,33967615,Female,1993/01/04,Bangalore,Delhi,2023/12/27,,Inactive
C0103, Amit Iyer ,amitiyer@email.com,15477967,Male,06-08-2000,Delhi,Tamil Nadu,2023/02/12,1761,active
C0104,Karan Rao,karanrao@email.com,39936928,Female,1997-03-07,Hyderabad,Maharashtra,12/01/2024,,active
C0105,Meena Rao,meenarao@email.com,21572656,Female,09/08/1992,Mumbai,Uttar Pradesh,08-09-2024,ten,Inactive
C0106,Rohan Kapoor,rohankapoor@email.com,24714368,Female,1987/04/21,Delhi,Rajasthan,21/09/2024,ten,active
C0107,Rahul Verma,rahulverma@email.com,24996795,Female,2000/01/21,Delhi,Karnataka,10-03-2023,,Inactive
C0108,Sneha Kapoor,snehakapoor@email.com,20233093,Male,1993-08-03,Bangalore,Rajasthan,2024/02/12,1339,Inactive
C0109,Rohan Mehta,rohanmehta@email.com,30201688,Female,1991-02-30,Lucknow,Tamil Nadu,2024/09/18,ten,Inactive
C0110,Meena Mehta,meenamehta@email.com,not_available,Female,1987-10-02,Pune,Maharashtra,2024/07/17,1025,active
C0111,Amit Singh,amitsingh@email.com,21179328,Female,1993-02-09,Lucknow,Karnataka,2024-09-18,511,Active
C0112, Rohan Rao ,rohanrao@email.com,17148988,Female,27/09/1995,Kolkata,Rajasthan,12-05-2023,,Active
C0113,Arjun Malhotra,arjunmalhotra@email.com,22613178,Female,30-03-1986,Mumbai,Telangana,2023/07/21,722,Active
C0114,Rohan Gupta,rohangupta@email.com,28947570,Female,19-12-1996,Delhi,Delhi,2023-03-25,,Inactive
C0115, Anjali Das ,anjalidas@email.com,15209000,Female,10/08/1999,Lucknow,Tamil Nadu,02/12/2024,,active
C0116,Meena Verma,meenaverma@email.com,16475347,Female,12/06/2000,Pune,Uttar Pradesh,2023/05/14,ten,Inactive
C0117,Karan Verma,karanverma@email,31732430,Female,1992-02-28,Chennai,Karnataka,2023/12/02,ten,Active
C0118, Amit Iyer ,amitiyer@email.com,34728184,Male,1996/07/18,Pune,Delhi,2023/02/21,1118,active
C0119,Anjali Iyer,anjaliiyer@email.com,20522360,Male,1991-05-30,Jaipur,Delhi,06-08-2024,982,active
C0120,Karan Das,karandas@email.com,38924722,Male,26/08/1986,Mumbai,Uttar Pradesh,2024/01/18,,Inactive
C0121, Sneha Singh ,snehasingh@email.com,19139284,Female,19/06/1989,Bangalore,Karnataka,2023/12/02,1124,Active
C0122,Arjun Gupta,arjungupta@email.com,31043264,Male,18/09/1991,Jaipur,Telangana,2024-12-05,,Inactive
C0123,Meena Das,meenadas@email.com,19383569,Female,15-09-1999,Bangalore,Tamil Nadu,2023-02-02,1577,Active
C0124,Rahul Iyer,rahuliyer@email.com,26134717,Male,14/01/1992,Bangalore,Tamil Nadu,2024/07/28,1514,Inactive
C0125,Meena Malhotra,meenamalhotra@email.com,25228957,Female,14-06-1993,Lucknow,Tamil Nadu,2023/09/10,,Inactive
C0126,Rohan Mehta,rohanmehta@email.com,11309112,Female,05-09-1991,Hyderabad,Maharashtra,10/08/2024,,active
C0127,Sneha Singh,snehasingh@email.com,20094405,Male,1991-02-30,Chennai,Telangana,2024/07/29,1562,Active
C0128,Neha Gupta,nehagupta@email.com,11581963,Female,1998-03-01,Mumbai,Karnataka,06-01-2023,,active
C0129,Meena Iyer,meenaiyer@email.com,not_available,Male,1999/08/05,Kolkata,Delhi,29/06/2023,ten,Active
C0130, Rahul Rao ,rahulrao@email.com,19647845,Female,1996/02/11,Lucknow,West Bengal,18/05/2023,1895,active
C0131,Pooja Verma,poojaverma@email,16879326,Male,01/06/1992,Bangalore,Uttar Pradesh,2024/03/13,ten,Active
C0132, Arjun Verma ,arjunverma@email.com,31236092,Female,22/02/1989,Hyderabad,Delhi,2023/09/25,762,Inactive
C0133,Pooja Sharma,poojasharma@email.com,25178546,Female,1999/12/24,Mumbai,Telangana,12-01-2024,ten,Active
C0134,Amit Iyer,amitiyer@email.com,28622247,Male,1988/06/08,Chennai,Maharashtra,22/06/2024,,Inactive
C0135,Sneha Verma,snehaverma@email.com,27159559,Male,27-08-1997,Lucknow,Maharashtra,06/06/2024,,Active
C0136,Meena Singh,meenasingh@email.com,not_available,Female,1996-07-06,Delhi,Tamil Nadu,2024-08-15,ten,Active
C0137,Arjun Kapoor,arjunkapoor@email.com,24106235,Male,2000-09-16,Jaipur,Rajasthan,27/01/2024,1931,active
C0138,Arjun Verma,arjunverma@email.com,10057731,Male,24-04-2000,Delhi,Delhi,02/11/2023,ten,Inactive
C0139,Karan Rao,karanrao@email.com,12877574,Male,06-12-1996,Delhi,Uttar Pradesh,2024-09-21,ten,Active
C0140,Pooja Verma,poojaverma@email,20849755,Female,07/04/1987,Chennai,Tamil Nadu,27-02-2023,,Inactive
C0141,Rohan Mehta,rohanmehta@email.com,15663581,Female,1997/12/03,Hyderabad,Delhi,24-07-2024,ten,Inactive
C0142,Arjun Malhotra,arjunmalhotra@email.com,28727336,Female,1991-02-30,Bangalore,Telangana,21-01-2024,,Inactive
C0143,Meena Mehta,meenamehta@email.com,16364837,Male,21-01-1990,Jaipur,Tamil Nadu,19-09-2023,ten,active
C0144,Neha Iyer,nehaiyer@email.com,not_available,Male,28-04-1993,Chennai,Tamil Nadu,05-05-2024,ten,active
C0145,Rohan Sharma,rohansharma@email.com,37322426,Male,1989-10-02,Kolkata,Rajasthan,17/10/2023,ten,active
C0146,Karan Kapoor,karankapoor@email.com,26645829,Male,02/12/1991,Pune,Rajasthan,2024-02-28,1054,Inactive
C0147,Pooja Singh,poojasingh@email.com,11165282,Female,13/05/1985,Kolkata,Rajasthan,21/09/2023,704,Inactive
C0148,Meena Iyer,meenaiyer@email.com,10520625,Male,1988/10/10,Kolkata,Delhi,2023-03-18,446,Active
C0149,Arjun Singh,arjunsingh@email.com,24738329,Female,23-02-1999,Lucknow,Delhi,07/01/2023,118,Active
C0150,Rahul Malhotra,rahulmalhotra@email.com,34766257,Male,1991/03/01,Mumbai,Maharashtra,20-06-2024,,Active
C0151, Pooja Gupta ,poojagupta@email.com,26106646,Male,1996/10/22,Hyderabad,Maharashtra,2024-10-31,ten,Active
C0152,Arjun Rao,arjunrao@email,19720873,Female,1993-06-17,Mumbai,Delhi,24-08-2023,1404,Inactive
C0153,Anjali Iyer,anjaliiyer@email.com,26927233,Male,1991-02-30,Pune,Delhi,01-08-2023,,Inactive
C0154,Arjun Verma,arjunverma@email.com,34597335,Male,18-09-1991,Mumbai,Rajasthan,2023-02-24,ten,active
C0155, Pooja Verma ,poojaverma@email.com,37989946,Male,22/08/1992,Pune,Uttar Pradesh,18-03-2024,ten,Inactive
C0156,Anjali Rao,anjalirao@email,23466441,Male,1986/12/04,Jaipur,Rajasthan,2024-01-05,1734,Active
C0157, Rahul Das ,rahuldas@email.com,33759794,Female,1994/12/23,Mumbai,Delhi,2023/04/02,309,Inactive
C0158,Neha Gupta,nehagupta@email.com,25666195,Male,01/06/1998,Kolkata,Karnataka,02/12/2024,ten,Active
C0159,Amit Das,amitdas@email.com,11663572,Female,03-10-1991,Hyderabad,Tamil Nadu,02/10/2024,229,Inactive
C0160,Anjali Mehta,anjalimehta@email.com,26602550,Female,1995/04/09,Pune,Uttar Pradesh,28-10-2024,ten,active
C0161,Sneha Gupta,snehagupta@email.com,31331272,Male,2000/08/05,Pune,Uttar Pradesh,15/10/2023,ten,active
C0162, Neha Gupta ,nehagupta@email.com,18381021,Female,25-06-1989,Hyderabad,Maharashtra,23/02/2024,,Active
C0163, Rohan Mehta ,rohanmehta@email.com,38258625,Female,01/09/1990,Kolkata,Delhi,2024-01-04,ten,Active
C0164,Pooja Kapoor,poojakapoor@email.com,24513023,Female,1988-09-24,Mumbai,Delhi,2023/04/11,,Active
C0165,Karan Malhotra,karanmalhotra@email.com,35104772,Male,08-07-1997,Pune,Delhi,2024-05-09,ten,active
C0166,Arjun Verma,arjunverma@email.com,36121427,Female,09-08-1987,Mumbai,West Bengal,14/12/2024,ten,active
C0167,Neha Das,nehadas@email.com,31850300,Male,1986-01-02,Kolkata,Karnataka,19-07-2024,ten,active
C0168,Karan Rao,karanrao@email.com,28762810,Male,14/05/1995,Lucknow,Uttar Pradesh,2024-02-03,1389,Inactive
C0169,Pooja Mehta,poojamehta@email.com,27844318,Female,1991-03-31,Mumbai,Telangana,17/11/2024,1282,Inactive
C0170,Sneha Gupta,snehagupta@email.com,27386687,Female,1993-09-19,Mumbai,Karnataka,2023-11-17,ten,Active
C0171,Rohan Verma,rohanverma@email.com,23836173,Female,08-02-1989,Kolkata,Karnataka,22-07-2024,ten,active
C0172,Rohan Singh,rohansingh@email.com,39557017,Female,13/03/1989,Kolkata,West Bengal,23/02/2024,1368,active
C0173,Meena Iyer,meenaiyer@email.com,39653321,Female,1988-10-02,Lucknow,Maharashtra,2024-08-09,1729,active
C0174,Karan Kapoor,karankapoor@email.com,39458691,Male,1997-02-27,Hyderabad,Delhi,2024/04/05,,active
C0175,Neha Iyer,nehaiyer@email.com,35503811,Female,20-08-1987,Bangalore,Karnataka,31-07-2023,,Active
C0176,Anjali Kapoor,anjalikapoor@email.com,30758152,Male,09-12-1996,Bangalore,Uttar Pradesh,2023/03/02,,Inactive
C0177,Amit Singh,amitsingh@email.com,35860961,Female,1990/08/08,Jaipur,Uttar Pradesh,2024-04-07,1796,Inactive
C0178,Neha Rao,neharao@email,17839377,Male,1996/07/25,Lucknow,Rajasthan,06/03/2023,ten,Active
C0179,Arjun Mehta,arjunmehta@email.com,16719621,Male,1996/02/05,Delhi,Maharashtra,03/10/2024,,Active
C0180,Neha Singh,nehasingh@email.com,29806932,Female,25/11/1994,Mumbai,Rajasthan,2023-09-14,,active
C0181, Amit Sharma ,amitsharma@email,16849195,Male,21-11-1993,Chennai,West Bengal,2023-01-10,,Inactive
C0182,Sneha Verma,snehaverma@email.com,17754561,Female,22/06/1994,Hyderabad,Karnataka,27-01-2024,245,Inactive
C0183,Amit Verma,amitverma@email.com,23387211,Female,24-11-1996,Chennai,Maharashtra,13-04-2023,ten,Active
C0184,Anjali Rao,anjalirao@email.com,26311637,Female,1992/11/19,Delhi,Telangana,30-07-2023,1720,Inactive
C0185,Arjun Das,arjundas@email.com,19666829,Male,30-06-1999,Pune,Rajasthan,16/05/2023,ten,Inactive
C0186, Arjun Kapoor ,arjunkapoor@email,33115922,Male,03/04/1997,Jaipur,Telangana,05/10/2024,1677,active
C0187,Arjun Verma,arjunverma@email.com,15424324,Male,15-05-1999,Kolkata,Rajasthan,2024-02-05,668,active
C0188,Arjun Mehta,arjunmehta@email,21991941,Male,20/04/1986,Mumbai,Delhi,25-12-2024,ten,Inactive
C0189,Rahul Singh,rahulsingh@email.com,34338686,Male,1996/02/19,Delhi,Rajasthan,2024/03/15,ten,Inactive
C0190,Neha Das,nehadas@email,13910767,Female,2000-12-23,Bangalore,Telangana,2023-04-16,ten,Active
C0191,Karan Sharma,karansharma@email.com,37293396,Male,1985-12-27,Kolkata,Uttar Pradesh,2023/08/18,600,Active
C0192,Arjun Kapoor,arjunkapoor@email,23905755,Male,1991/02/01,Jaipur,Maharashtra,2024/04/21,,active
C0193,Sneha Verma,snehaverma@email.com,22682369,Female,1997/05/28,Lucknow,Tamil Nadu,13-07-2024,ten,Active
C0194,Rahul Rao,rahulrao@email.com,not_available,Female,1985/07/15,Hyderabad,Maharashtra,30-07-2023,,active
C0195,Meena Sharma,meenasharma@email.com,26289896,Female,1988-03-12,Mumbai,Maharashtra,01-06-2024,189,Inactive
C0196,Arjun Verma,arjunverma@email.com,25554316,Female,11/04/1998,Pune,Rajasthan,2024/04/08,1456,Active
C0197,Neha Mehta,nehamehta@email.com,37281685,Female,1988-01-21,Chennai,West Bengal,12/11/2023,418,active
C0198,Neha Verma,nehaverma@email,35400134,Male,1988/07/15,Mumbai,Tamil Nadu,31/12/2023,,Inactive
C0199,Rahul Das,rahuldas@email.com,38579536,Female,02-11-1990,Mumbai,Karnataka,2023-05-05,ten,Active
C0200,Pooja Singh,poojasingh@email,30411851,Male,1989/06/12,Delhi,Maharashtra,22/07/2023,,Active
C0201,Neha Kapoor,nehakapoor@email.com,33338494,Female,1991-02-30,Delhi,Uttar Pradesh,30/11/2024,1044,Active
C0202, Sneha Mehta ,snehamehta@email.com,15752637,Female,14/03/1989,Jaipur,West Bengal,2023-03-04,1909,active
C0203,Arjun Singh,arjunsingh@email.com,34950644,Female,28-05-1994,Kolkata,West Bengal,2023/12/19,,active
C0204, Rohan Singh ,rohansingh@email.com,20555015,Male,02-08-1985,Bangalore,Maharashtra,11-09-2023,ten,active
C0205,Karan Sharma,karansharma@email.com,21081587,Female,03/12/1989,Delhi,Rajasthan,04-08-2024,826,Inactive
C0206, Pooja Iyer ,poojaiyer@email.com,not_available,Female,28/02/1997,Delhi,Rajasthan,20-09-2024,177,Active
C0207,Sneha Singh,snehasingh@email.com,17157321,Female,04-04-1992,Mumbai,Rajasthan,22/12/2024,,Inactive
C0208,Neha Kapoor,nehakapoor@email.com,34869863,Female,09-10-1991,Chennai,Karnataka,2024/01/23,ten,Inactive
C0209, Rohan Singh ,rohansingh@email.com,14604587,Male,26/12/1988,Mumbai,West Bengal,2023/05/25,,Inactive
C0210,Neha Mehta,nehamehta@email.com,37092658,Female,12-10-1992,Delhi,Telangana,03-08-2023,1402,Inactive
C0211,Neha Kapoor,nehakapoor@email.com,15228476,Female,1990-10-04,Jaipur,Rajasthan,13/07/2024,ten,Active
C0212, Meena Gupta ,meenagupta@email.com,35006828,Female,08-08-1999,Mumbai,Maharashtra,17-12-2023,ten,active
C0213,Amit Verma,amitverma@email.com,21869295,Male,1997-04-09,Jaipur,Karnataka,2023-02-24,,active
C0214,Pooja Mehta,poojamehta@email,17824968,Female,1994/03/07,Bangalore,Delhi,2024-01-05,ten,active
C0215, Neha Das ,nehadas@email.com,10546140,Female,07/11/1999,Mumbai,Telangana,12/02/2024,508,active
C0216,Rohan Verma,rohanverma@email.com,24905478,Female,26-05-1999,Chennai,Telangana,2024-07-31,ten,Active
C0217,Neha Verma,nehaverma@email,24009560,Female,27/12/1999,Kolkata,West Bengal,09-08-2024,,active
C0218,Rohan Verma,rohanverma@email.com,25395607,Male,1993-11-09,Mumbai,West Bengal,27-06-2023,,Active
C0219,Pooja Singh,poojasingh@email.com,31775562,Male,16/12/1985,Mumbai,Uttar Pradesh,23/07/2024,,Inactive
C0220,Sneha Das,snehadas@email.com,37916444,Male,1996-08-28,Bangalore,Maharashtra,2023-04-19,,active
C0221,Karan Kapoor,karankapoor@email.com,14942804,Female,21/03/1994,Delhi,Uttar Pradesh,06-12-2023,,Active
C0222,Meena Das,meenadas@email.com,22061803,Male,1991-02-30,Chennai,Karnataka,04/11/2023,ten,active
C0223,Rohan Rao,rohanrao@email.com,16423838,Female,27-07-1998,Delhi,Karnataka,2023/03/09,1004,Inactive
C0224,Karan Rao,karanrao@email.com,not_available,Male,1988-01-17,Lucknow,Delhi,05-01-2024,455,active
C0225,Sneha Iyer,snehaiyer@email.com,33839281,Female,1996-04-30,Kolkata,Rajasthan,19-12-2023,1495,active
C0226,Neha Das,nehadas@email.com,28486468,Male,13-08-1985,Hyderabad,Uttar Pradesh,2024-06-09,,Inactive
